prefix,bits,registry,vendor
001BC5000,36,MA-S,Converging Systems Inc.
001BC5001,36,MA-S,"OpenRB.com, Direct SIA"
001BC5002,36,MA-S,GORAMO - Janusz Gorecki
001BC5003,36,MA-S,MicroSigns Technologies Inc
001BC5004,36,MA-S,Intellvisions Software Ltd
001BC5005,36,MA-S,Private
001BC5006,36,MA-S,TRIAX-HIRSCHMANN Multi-Media GmbH
001BC5007,36,MA-S,Energy Aware Technology
001BC5008,36,MA-S,Dalaj Electro-Telecom
001BC5009,36,MA-S,Solomon Systech Pte Ltd
001BC500A,36,MA-S,Mercury HMI Ltd
001BC500B,36,MA-S,Private
001BC500C,36,MA-S,"Quantum Technology Sciences, Inc."
001BC500D,36,MA-S,"Advanced Scientific Concepts, Inc."
001BC500E,36,MA-S,Vigor Electric Corp
001BC500F,36,MA-S,Simavita Pty Ltd
001BC5010,36,MA-S,Softel SA de CV
001BC5011,36,MA-S,OOO NPP Mera
001BC5012,36,MA-S,"Tokyo Cosmos Electric, Inc."
001BC5013,36,MA-S,Zamir Recognition Systems Ltd.
001BC5014,36,MA-S,Private
001BC5015,36,MA-S,Corporate Systems Engineering
001BC5016,36,MA-S,Energotechnica OOO NPP Ltd
001BC5017,36,MA-S,cPacket Networks
001BC5019,36,MA-S,Dunlop Systems & Components
001BC501A,36,MA-S,"ABA ELECTRONICS TECHNOLOGY CO.,LTD"
001BC501B,36,MA-S,Commonwealth Scientific and Industrial  Research Organisation
001BC501C,36,MA-S,"Coolit Systems, Inc."
001BC501D,36,MA-S,Rose + Herleth GbR
001BC501E,36,MA-S,Private
001BC501F,36,MA-S,Saturn Solutions Ltd
001BC5020,36,MA-S,Momentum Data Systems
001BC5021,36,MA-S,"Openpeak, Inc"
001BC5022,36,MA-S,CJSC STC  SIMOS
001BC5023,36,MA-S,MAGO di Della Mora Walter
001BC5024,36,MA-S,ANNECY ELECTRONIQUE SAS
001BC5025,36,MA-S,andersen lighting GmbH
001BC5026,36,MA-S,DIMEP Sistemas
001BC5027,36,MA-S,"CAMEA, spol. s r.o."
001BC5028,36,MA-S,STECHWIN.CO.LTD.
001BC5029,36,MA-S,2 FRANCE MARINE
001BC502A,36,MA-S,"Analytical Instrument Systems, Inc."
001BC502B,36,MA-S,Saturn South Pty Ltd
001BC502C,36,MA-S,Care Everywhere LLC
001BC502D,36,MA-S,DDTRONIK Dariusz Dowgiert
001BC502E,36,MA-S,BETTINI SRL
001BC502F,36,MA-S,Fibrain Co. Ltd.
001BC5030,36,MA-S,OctoGate IT Security Systems GmbH
001BC5031,36,MA-S,ADIXEIN LIMITED
001BC5032,36,MA-S,Osborne Coinage Co
001BC5033,36,MA-S,JE Suunnittelu Oy
001BC5034,36,MA-S,InterCEL Pty Ltd
001BC5035,36,MA-S,RTLS Ltd.
001BC5036,36,MA-S,LOMAR SRL
001BC5037,36,MA-S,ITW Reyflex North America
001BC5038,36,MA-S,SEED International Ltd.
001BC5039,36,MA-S,EURESYS S.A.
001BC503A,36,MA-S,MindMade Sp. z o.o.
001BC503B,36,MA-S,"Promixis, LLC"
001BC503C,36,MA-S,Xiphos Systems Corp.
001BC503D,36,MA-S,rioxo GmbH
001BC503E,36,MA-S,"Daylight  Solutions, Inc"
001BC503F,36,MA-S,ELTRADE Ltd
001BC5040,36,MA-S,OOO Actidata
001BC5041,36,MA-S,DesignA Electronics Limited
001BC5042,36,MA-S,Chamsys Ltd
001BC5043,36,MA-S,"Coincident, Inc."
001BC5044,36,MA-S,ZAO &quot;RADIUS Avtomatika&quot;
001BC5045,36,MA-S,Marvel Digital International Limited
001BC5046,36,MA-S,GÉANT
001BC5047,36,MA-S,PT. Amanindo Nusapadu
001BC5048,36,MA-S,XPossible Technologies Pte Ltd
001BC5049,36,MA-S,EUROCONTROL S.p.A.
001BC504A,36,MA-S,Certis Technology International Pte Ltd
001BC504B,36,MA-S,Silicon Controls
001BC504C,36,MA-S,Rhino Controls Ltd.
001BC504D,36,MA-S,eiraku electric corp.
